,All Events Count,All Events % Parent,All Events % Grand Parent,All Events % Total,All Events Count/uL,All Events Median mTagBFP2-A,All Events Mean mTagBFP2-A,All Events Max mTagBFP2-A,All Events SD mTagBFP2-A,All Events Min mTagBFP2-A,All Events % CV mTagBFP2-A,All Events Median GFP-A,All Events Mean GFP-A,All Events Max GFP-A,All Events SD GFP-A,All Events Min GFP-A,All Events % CV GFP-A,Cell Population Count,Cell Population % Parent,Cell Population % Grand Parent,Cell Population % Total,Cell Population Count/uL,Cell Population Median mTagBFP2-A,Cell Population Mean mTagBFP2-A,Cell Population Max mTagBFP2-A,Cell Population SD mTagBFP2-A,Cell Population Min mTagBFP2-A,Cell Population % CV mTagBFP2-A,Cell Population Median GFP-A,Cell Population Mean GFP-A,Cell Population Max GFP-A,Cell Population SD GFP-A,Cell Population Min GFP-A,Cell Population % CV GFP-A,Blue+ Count,Blue+ % Parent,Blue+ % Grand Parent,Blue+ % Total,Blue+ Count/uL,Blue+ Median mTagBFP2-A,Blue+ Mean mTagBFP2-A,Blue+ Max mTagBFP2-A,Blue+ SD mTagBFP2-A,Blue+ Min mTagBFP2-A,Blue+ % CV mTagBFP2-A,Blue+ Median GFP-A,Blue+ Mean GFP-A,Blue+ Max GFP-A,Blue+ SD GFP-A,Blue+ Min GFP-A,Blue+ % CV GFP-A,Green+ Count,Green+ % Parent,Green+ % Grand Parent,Green+ % Total,Green+ Count/uL,Green+ Median mTagBFP2-A,Green+ Mean mTagBFP2-A,Green+ Max mTagBFP2-A,Green+ SD mTagBFP2-A,Green+ Min mTagBFP2-A,Green+ % CV mTagBFP2-A,Green+ Median GFP-A,Green+ Mean GFP-A,Green+ Max GFP-A,Green+ SD GFP-A,Green+ Min GFP-A,Green+ % CV GFP-A,All+ Count,All+ % Parent,All+ % Grand Parent,All+ % Total,All+ Count/uL,All+ Median mTagBFP2-A,All+ Mean mTagBFP2-A,All+ Max mTagBFP2-A,All+ SD mTagBFP2-A,All+ Min mTagBFP2-A,All+ % CV mTagBFP2-A,All+ Median GFP-A,All+ Mean GFP-A,All+ Max GFP-A,All+ SD GFP-A,All+ Min GFP-A,All+ % CV GFP-A,mCYRFP1+ Count,mCYRFP1+ % Parent,mCYRFP1+ % Grand Parent,mCYRFP1+ % Total,mCYRFP1+ Count/uL,mCYRFP1+ Median mTagBFP2-A,mCYRFP1+ Mean mTagBFP2-A,mCYRFP1+ Max mTagBFP2-A,mCYRFP1+ SD mTagBFP2-A,mCYRFP1+ Min mTagBFP2-A,mCYRFP1+ % CV mTagBFP2-A,mCYRFP1+ Median GFP-A,mCYRFP1+ Mean GFP-A,mCYRFP1+ Max GFP-A,mCYRFP1+ SD GFP-A,mCYRFP1+ Min GFP-A,mCYRFP1+ % CV GFP-A,GFP-RFP+ Count,GFP-RFP+ % Parent,GFP-RFP+ % Grand Parent,GFP-RFP+ % Total,GFP-RFP+ Count/uL,GFP-RFP+ Median mTagBFP2-A,GFP-RFP+ Mean mTagBFP2-A,GFP-RFP+ Max mTagBFP2-A,GFP-RFP+ SD mTagBFP2-A,GFP-RFP+ Min mTagBFP2-A,GFP-RFP+ % CV mTagBFP2-A,GFP-RFP+ Median GFP-A,GFP-RFP+ Mean GFP-A,GFP-RFP+ Max GFP-A,GFP-RFP+ SD GFP-A,GFP-RFP+ Min GFP-A,GFP-RFP+ % CV GFP-A,BFP-RFP+ Count,BFP-RFP+ % Parent,BFP-RFP+ % Grand Parent,BFP-RFP+ % Total,BFP-RFP+ Count/uL,BFP-RFP+ Median mTagBFP2-A,BFP-RFP+ Mean mTagBFP2-A,BFP-RFP+ Max mTagBFP2-A,BFP-RFP+ SD mTagBFP2-A,BFP-RFP+ Min mTagBFP2-A,BFP-RFP+ % CV mTagBFP2-A,BFP-RFP+ Median GFP-A,BFP-RFP+ Mean GFP-A,BFP-RFP+ Max GFP-A,BFP-RFP+ SD GFP-A,BFP-RFP+ Min GFP-A,BFP-RFP+ % CV GFP-A,GFP-BFP+ Count,GFP-BFP+ % Parent,GFP-BFP+ % Grand Parent,GFP-BFP+ % Total,GFP-BFP+ Count/uL,GFP-BFP+ Median mTagBFP2-A,GFP-BFP+ Mean mTagBFP2-A,GFP-BFP+ Max mTagBFP2-A,GFP-BFP+ SD mTagBFP2-A,GFP-BFP+ Min mTagBFP2-A,GFP-BFP+ % CV mTagBFP2-A,GFP-BFP+ Median GFP-A,GFP-BFP+ Mean GFP-A,GFP-BFP+ Max GFP-A,GFP-BFP+ SD GFP-A,GFP-BFP+ Min GFP-A,GFP-BFP+ % CV GFP-A
20250326-iVector-Plate_001-Group_001-E1 pV39-1,"10000","100.00","100.00","100.00","117.19","78","14061","745582","42929","-437","305.31","319","172314","5061357","532472","-589","309.01","8937","89.37","89.37","89.37","104.73","81","13768","476777","40074","-363","291.06","334","173873","4878537","517328","-589","297.53","2648","29.63","26.48","26.48","31.03","20934","46317","476777","62559","553","135.07","242096","585108","4878537","814153","-203","139.15","2827","31.63","28.27","28.27","33.13","16648","41558","385192","57869","-17","139.25","194122","522107","4187285","739698","2079","141.68","5","0.18","0.06","0.05","0.06","97616","86541","118000","27931","44889","32.27","1369091","1394770","1783532","405203","801173","29.05","8","0.09","0.08","0.08","0.09","66707","67946","118000","35736","10441","52.60","1089419","1088966","1783532","554480","215966","50.92","8","0.09","0.08","0.08","0.09","66707","67946","118000","35736","10441","52.60","1089419","1088966","1783532","554480","215966","50.92","8","0.09","0.08","0.08","0.09","66707","67946","118000","35736","10441","52.60","1089419","1088966","1783532","554480","215966","50.92","2569","28.75","25.69","25.69","30.11","22759","47700","476777","63009","621","132.09","264537","603757","4878537","819645","3235","135.76"
20250326-iVector-Plate_001-Group_001-E2 pV40-1,"10000","100.00","100.00","100.00","317.16","332","28611","2996270","70885","-173123","247.76","3119","347977","5013877","742411","-538","213.35","8965","89.65","89.65","89.65","284.33","298","26532","566109","54654","-173123","205.99","2856","335551","4934978","700341","-538","208.71","4234","47.23","42.34","42.34","134.28","31916","56246","566109","68071","554","121.02","371128","685052","4934978","851512","41","124.30","4550","50.75","45.50","45.50","144.31","26587","49802","447187","61990","-2451","124.47","304846","615383","4147359","778276","2078","126.47","6","0.13","0.07","0.06","0.19","127651","133292","191687","46221","70656","34.68","1875484","1968708","2745893","634111","1191182","32.21","15","0.17","0.15","0.15","0.48","70656","102039","566109","154755","-173123","151.66","1426093","1752247","4934978","1507168","295300","86.01","15","0.17","0.15","0.15","0.48","70656","102039","566109","154755","-173123","151.66","1426093","1752247","4934978","1507168","295300","86.01","14","0.16","0.14","0.14","0.44","87850","121693","566109","139826","6727","114.90","1308637","1524977","4934978","1269614","295300","83.25","4148","46.27","41.48","41.48","131.56","33165","57396","566109","68303","622","119.00","387527","699689","4934978","854304","3358","122.10"
20250326-iVector-Plate_001-Group_001-E3 pV41-1,"10000","100.00","100.00","100.00","369.41","15391","183079","3280053","314760","-1126","171.93","44971","626089","5040658","1045834","-475","167.04","9019","90.19","90.19","90.19","333.17","12795","165156","2100038","268116","-1126","162.34","38404","582463","4899923","954268","-308","163.83","5810","64.42","58.10","58.10","214.63","151370","256243","2100038","297107","551","115.95","510507","903770","4899923","1059933","10","117.28","5374","59.59","53.74","53.74","198.52","165971","249017","1534895","259142","305","104.07","567946","879542","4194163","941182","2073","107.01","5","0.09","0.06","0.05","0.18","307171","339621","563941","161290","128642","47.49","127708","521485","1706593","727584","11976","139.52","13","0.14","0.13","0.13","0.48","189883","220465","563941","148255","-330","67.25","127708","417028","1706593","526729","1256","126.31","12","0.13","0.12","0.12","0.44","209043","238865","563941","138479","74363","57.97","245747","451675","1706593","534454","11976","118.33","9","0.10","0.09","0.09","0.33","228203","253300","563941","158057","74363","62.40","363786","499805","1706593","565702","11976","113.18","5276","58.50","52.76","52.76","194.90","191860","281982","2100038","299995","623","106.39","640767","995161","4899923","1070659","3239","107.59"
20250326-iVector-Plate_001-Group_001-E4 pV42-1,"10000","100.00","100.00","100.00","343.29","99","56709","2420901","186177","-463","328.30","314","214796","4961998","685100","-614","318.95","9129","91.29","91.29","91.29","313.39","102","49135","1674034","153093","-463","311.57","321","193407","4855524","609245","-614","315.01","2386","26.14","23.86","23.86","81.91","74857","187730","1674034","252346","553","134.42","284399","738940","4855524","1008683","-127","136.50","2223","24.35","22.23","22.23","76.31","84830","183401","1145818","226249","263","123.36","326737","725106","4191549","920336","2091","126.92","1","0.04","0.01","0.01","0.03","75182","75182","75182","0","75182","0.00","596100","596100","596100","0","596100","0.00","1","0.01","0.01","0.01","0.03","75182","75182","75182","0","75182","0.00","596100","596100","596100","0","596100","0.00","1","0.01","0.01","0.01","0.03","75182","75182","75182","0","75182","0.00","596100","596100","596100","0","596100","0.00","1","0.01","0.01","0.01","0.03","75182","75182","75182","0","75182","0.00","596100","596100","596100","0","596100","0.00","2159","23.65","21.59","21.59","74.12","102059","207179","1674034","257680","720","124.38","382853","816768","4855524","1029977","3242","126.10"
20250326-iVector-Plate_001-Group_001-E5 pV43-1,"10000","100.00","100.00","100.00","464.47","154","9064","1092343","29554","-1173","326.05","240","9770","4401494","59781","-687","611.86","9174","91.74","91.74","91.74","426.10","148","8073","1092343","25735","-1173","318.79","228","9005","4401494","60101","-687","667.44","3682","40.14","36.82","36.82","171.02","8824","20022","1092343","37568","551","187.64","7520","22338","4401494","93295","-234","417.66","2789","30.40","27.89","27.89","129.54","14802","25562","1012867","36202","492","141.62","12952","27583","1798278","66641","2077","241.60","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","0.01","0.01","0.01","0.05","-1173","-1173","-1173","0","-1173","0.00","-141","-141","-141","0","-141","0.00","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2498","27.23","24.98","24.98","116.02","17574","28562","1092343","43046","940","150.71","15603","32247","4401494","111919","3236","347.07"
20250326-iVector-Plate_001-Group_001-E6 BFP+RFP-1,"10000","100.00","100.00","100.00","507.10","73","4657","501067","15535","-2494","333.60","17","68","71741","1246","-16709","1821.87","9261","92.61","92.61","92.61","469.62","71","4299","320829","13065","-2494","303.92","14","61","71741","1286","-16709","2108.27","2718","29.35","27.18","27.18","137.83","7032","14572","320829","20792","553","142.68","-3","144","71741","2357","-16709","1636.09","26","0.28","0.26","0.26","1.32","27596","30824","102568","25778","638","83.63","8364","16147","71741","17821","2544","110.37","23","88.46","0.25","0.23","1.17","30223","34508","102568","25131","7570","72.83","9227","17497","71741","18541","2544","105.97","1742","18.81","17.42","17.42","88.34","13991","21303","320829","23345","-33","109.59","-25","197","71741","2934","-16709","1491.76","24","0.26","0.24","0.24","1.22","29069","33291","102568","25292","5291","75.97","8928","17098","71741","18239","2544","106.67","1684","18.18","16.84","16.84","85.40","14554","21899","320829","23510","819","107.35","-27","203","71741","2984","-16709","1471.64","23","0.25","0.23","0.23","1.17","27915","32903","102568","26207","638","79.65","9227","17876","71741","18269","3262","102.20"
20250326-iVector-Plate_001-Group_001-E7 Triple-5,"10000","100.00","100.00","100.00","498.75","30","151","64869","11510","-342707","7643.91","148","153326","5064823","634107","-584","413.57","9267","92.67","92.67","92.67","462.19","31","249","61882","10200","-342707","4104.69","151","149839","5054987","620899","-584","414.38","1048","11.31","10.48","10.48","52.27","5513","7591","61882","7424","554","97.80","562576","981198","4368256","1046905","-160","106.70","1380","14.89","13.80","13.80","68.83","3056","5722","61882","7193","-351","125.70","284024","723585","4184142","953035","2097","131.71","323","23.41","3.49","3.23","16.11","10495","13143","61882","9097","1355","69.22","1771525","1869945","4177612","1019649","97492","54.53","512","5.52","5.12","5.12","25.54","8551","218","61882","42046","-342707","19286.72","1759350","2052333","5054987","1411507","-160","68.78","506","5.46","5.06","5.06","25.24","8631","163","61882","42291","-342707","25981.07","1771492","2073590","5054987","1406026","83047","67.81","439","4.74","4.39","4.39","21.90","9713","11993","61882","8608","1106","71.77","1509955","1737478","4368256","1094495","-160","62.99","1018","10.99","10.18","10.18","50.77","5678","7778","61882","7446","623","95.74","594252","1008743","4368256","1049608","4012","104.05"
20250326-iVector-Plate_001-Group_001-E8 pV52-1,"10000","100.00","100.00","100.00","458.51","26","272","92659","2320","-462","852.39","55","3151","1325309","27427","-804","870.49","9453","94.53","94.53","94.53","433.43","26","223","92659","1857","-365","831.63","53","2740","800521","22735","-804","829.88","517","5.47","5.17","5.17","23.70","1448","3596","92659","7138","551","198.50","18882","45954","800521","86430","-223","188.08","852","9.01","8.52","8.52","39.06","764","2292","92659","5787","-101","252.55","9638","29617","800521","70323","2073","237.44","154","18.08","1.63","1.54","7.06","4911","8055","62196","8993","1256","111.65","69194","110581","800521","131442","15941","118.87","248","2.62","2.48","2.48","11.37","3190","5658","62196","7770","477","137.33","41038","77473","800521","112180","3500","144.80","249","2.63","2.49","2.49","11.42","3189","5639","62196","7761","477","137.62","40973","77260","800521","112004","3500","144.97","226","2.39","2.26","2.26","10.36","3481","6109","62196","7996","817","130.89","44652","83650","800521","115647","10223","138.25","480","5.08","4.80","4.80","22.01","1563","3812","92659","7361","622","193.08","20500","48993","800521","88980","3500","181.62"
20250326-iVector-Plate_001-Group_001-E9 pV59-1,"10000","100.00","100.00","100.00","316.86","224","65018","2351707","169683","-670","260.98","546","260789","4921156","689616","-3142","264.43","9099","90.99","90.99","90.99","288.31","204","54003","1495556","140066","-670","259.37","494","226250","4867721","605080","-3142","267.44","3659","40.21","36.59","36.59","115.94","48099","134101","1495556","195074","551","145.47","185445","561998","4867721","849663","-3142","151.19","3362","36.95","33.62","33.62","106.53","57175","134437","1173616","176920","42","131.60","225146","561679","4186824","768811","2084","136.88","2683","79.80","29.49","26.83","85.01","95897","167320","1173616","184008","1418","109.97","373900","700076","4186824","803347","2389","114.75","2905","31.93","29.05","29.05","92.05","86581","168132","1495556","205679","726","122.33","344811","705799","4867721","899179","-3142","127.40","2902","31.89","29.02","29.02","91.95","86938","168327","1495556","205708","726","122.21","345598","706952","4867721","899103","2310","127.18","2884","31.70","28.84","28.84","91.38","88408","169403","1495556","205910","858","121.55","348074","711173","4867721","900311","-3142","126.60","3262","35.85","32.62","32.62","103.36","65573","150086","1495556","200818","693","133.80","256177","630468","4867721","875600","3238","138.88"
20250326-iVector-Plate_001-Group_001-E10 pV44-1,"10000","100.00","100.00","100.00","232.40","70","7866","965315","40632","-140092","516.56","437","145909","5058294","566999","-528","388.60","9217","92.17","92.17","92.17","214.20","68","5978","965315","32992","-111562","551.90","424","136768","5058294","536725","-528","392.43","2208","23.96","22.08","22.08","51.31","4788","24948","965315","63745","551","255.51","148217","551431","5011675","948500","-278","172.01","2486","26.97","24.86","24.86","57.77","2843","18573","965315","53273","-156","286.84","99208","398803","4191805","694968","2075","174.26","9","0.36","0.10","0.09","0.21","45841","73008","223433","77534","13220","106.20","1092885","1515062","3067825","990082","316344","65.35","33","0.36","0.33","0.33","0.77","15541","56641","548407","125883","-111562","222.25","1092885","2042405","5058294","1947688","27188","95.36","33","0.36","0.33","0.33","0.77","15541","56641","548407","125883","-111562","222.25","1092885","2042405","5058294","1947688","27188","95.36","30","0.33","0.30","0.30","0.70","20526","67037","548407","126593","1058","188.84","1029155","1909127","5011675","1844994","77459","96.64","1938","21.03","19.38","19.38","45.04","6295","28017","965315","67419","621","240.64","208197","627600","5011675","988723","3234","157.54"
